elapsed_time,n_trial,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
4110.5314810276,1679,0.1074709892,RRTConnectkConfigDefault,1,0.9597818851,0.1074709892,1.7029265475,8.4014546173,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4113.1892430782,1680,0.3005180359,RRTConnectkConfigDefault,1,1.0543498993,0.3005180359,1.7026627897,9.9874426867,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4115.7357590199,1681,0.1351230145,RRTConnectkConfigDefault,1,1.0666401386,0.1351230145,1.70290422,8.7129989647,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4116.3660440445,1682,3,RRTConnectkConfigDefault,1,0,3,0,0,0,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4119.0294220448,1683,0.2858660221,RRTConnectkConfigDefault,1,0.9875211716,0.2858660221,1.7027641567,8.0120684114,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4121.3023760319,1684,0.1542599201,RRTConnectkConfigDefault,1,0.9845020771,0.1542599201,1.7029010326,7.6918289173,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4123.9033489227,1685,0.1593120098,RRTConnectkConfigDefault,1,1.1533389091,0.1593120098,1.7028435099,7.7192498589,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4126.3866629601,1686,0.1989300251,RRTConnectkConfigDefault,1,0.9535191059,0.1989300251,1.7027229942,7.8421028791,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4129.2100429535,1687,0.1333320141,RRTConnectkConfigDefault,1,1.0937008858,0.1333320141,1.702680872,7.8969276604,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4132.0081009865,1688,0.1388919353,RRTConnectkConfigDefault,1,0.873568058,0.1388919353,1.7027553814,7.3632753154,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4134.7143819332,1689,0.1801729202,RRTConnectkConfigDefault,1,0.9820878506,0.1801729202,1.7027551238,6.6363841477,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4137.8417389393,1690,0.2537178993,RRTConnectkConfigDefault,1,1.249464035,0.2537178993,1.7027224075,9.5117289658,1,"{'default': 1.1, 'type': 'geometric::RRTConnect'}"
4140.7729668617,1691,0.143392086,RRTConnectkConfigDefault,1,1.5033540726,0.143392086,1.7028479334,8.7277510922,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4143.4558389187,1692,0.1972911358,RRTConnectkConfigDefault,1,1.0714528561,0.1972911358,1.7028826401,7.4394490937,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4146.548637867,1693,0.3667609692,RRTConnectkConfigDefault,1,1.2144129276,0.3667609692,1.7029559341,6.7995001781,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4149.6962249279,1694,0.1103479862,RRTConnectkConfigDefault,1,0.9872918129,0.1103479862,1.7028283493,8.0195338446,1,"{'default': 1.1, 'type': 'geometric::RRTConnect'}"
4152.5133299828,1695,0.1460740566,RRTConnectkConfigDefault,1,1.1345717907,0.1460740566,1.7027732315,8.6020142624,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4155.5230529308,1696,0.2713820934,RRTConnectkConfigDefault,1,1.1449558735,0.2713820934,1.702883269,8.5898792162,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4157.7809028626,1697,0.1089820862,RRTConnectkConfigDefault,1,0.8339309692,0.1089820862,1.7024773688,6.846154766,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4160.817991972,1698,0.2118148804,RRTConnectkConfigDefault,1,0.973197937,0.2118148804,1.7026411911,8.182688055,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4163.563863039,1699,0.2422580719,RRTConnectkConfigDefault,1,1.1312401295,0.2422580719,1.7028853351,8.930666001,1,"{'default': 1.1, 'type': 'geometric::RRTConnect'}"
4166.7357928753,1700,0.4025402069,RRTConnectkConfigDefault,1,1.197332859,0.4025402069,1.7028801449,6.9112435111,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4169.3683719635,1701,0.1192190647,RRTConnectkConfigDefault,1,0.9771850109,0.1192190647,1.7027806337,7.1909978919,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4172.7779300213,1702,0.2008218765,RRTConnectkConfigDefault,1,1.1951169968,0.2008218765,1.702570677,8.6157239777,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4175.1964070797,1703,0.1213929653,RRTConnectkConfigDefault,1,1.0113830566,0.1213929653,1.7026476865,8.1522307801,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4177.878287077,1704,0.1950662136,RRTConnectkConfigDefault,1,1.1209070683,0.1950662136,1.7027957299,9.5078366433,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
4180.6429579258,1705,0.2838079929,RRTConnectkConfigDefault,1,0.9846959114,0.2838079929,1.7024097551,7.9524851227,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4183.5007050037,1706,0.2339270115,RRTConnectkConfigDefault,1,1.2295508385,0.2339270115,1.7027148361,9.8997063035,1,"{'default': 1.1, 'type': 'geometric::RRTConnect'}"
4186.039949894,1707,0.1565020084,RRTConnectkConfigDefault,1,1.0394620895,0.1565020084,1.7023622675,8.8941744574,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
4188.7550919056,1708,0.2110249996,RRTConnectkConfigDefault,1,0.9703419209,0.2110249996,1.7025427179,7.9072352836,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4191.047096014,1709,0.1053171158,RRTConnectkConfigDefault,1,0.8301057816,0.1053171158,1.702471623,7.2485287115,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4193.6152920723,1710,0.1066758633,RRTConnectkConfigDefault,1,0.8331730366,0.1066758633,1.7028392505,7.2487751748,1,"{'default': 1.1, 'type': 'geometric::RRTConnect'}"
4196.1240129471,1711,0.1268060207,RRTConnectkConfigDefault,1,0.8822889328,0.1268060207,1.7027165926,6.6220736128,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4198.5787880421,1712,0.259319067,RRTConnectkConfigDefault,1,0.9420039654,0.259319067,1.7026116661,7.5034610937,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4201.0087800026,1713,0.1719238758,RRTConnectkConfigDefault,1,0.8915510178,0.1719238758,1.702989646,7.5833789136,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4203.6918559074,1714,0.314016819,RRTConnectkConfigDefault,1,0.9961638451,0.314016819,1.7028504533,7.3108056867,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
4206.2704560757,1715,0.1929979324,RRTConnectkConfigDefault,1,0.9585461617,0.1929979324,1.7027136562,8.4062831165,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4209.0258388519,1716,0.174683094,RRTConnectkConfigDefault,1,1.1226799488,0.174683094,1.7027564631,8.4573811175,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4212.8116009235,1717,0.109896183,RRTConnectkConfigDefault,1,1.2131199837,0.109896183,1.7029747638,7.6315890539,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4215.2070879936,1718,0.1185259819,RRTConnectkConfigDefault,1,0.8787732124,0.1185259819,1.7027784974,7.4818286819,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4215.9083888531,1719,3,RRTConnectkConfigDefault,1,0,3,0,0,0,"{'default': 1.1, 'type': 'geometric::RRTConnect'}"
4218.7535438538,1720,0.2894980907,RRTConnectkConfigDefault,1,1.0171339512,0.2894980907,1.7028881088,8.0682264462,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
4221.5035119057,1721,0.1802530289,RRTConnectkConfigDefault,1,0.990489006,0.1802530289,1.7029373987,8.03321161,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4223.8559269905,1722,0.1309378147,RRTConnectkConfigDefault,1,0.9144079685,0.1309378147,1.7028812296,7.8129926999,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4224.3375909329,1723,3,RRTConnectkConfigDefault,1,0,3,0,0,0,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4226.6733489037,1724,0.1172430515,RRTConnectkConfigDefault,1,0.9471859932,0.1172430515,1.7025834925,7.8096487441,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
4229.4362530708,1725,0.3358440399,RRTConnectkConfigDefault,1,0.8245799541,0.3358440399,1.7030595568,7.1571991413,1,"{'default': 1.1, 'type': 'geometric::RRTConnect'}"
4232.0723600388,1726,0.1384429932,RRTConnectkConfigDefault,1,1.0497851372,0.1384429932,1.7028652569,7.6970223842,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4234.5854239464,1727,0.2339551449,RRTConnectkConfigDefault,1,0.8347609043,0.2339551449,1.7030387231,6.8031084351,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4237.1454770565,1728,0.2735979557,RRTConnectkConfigDefault,1,0.8231039047,0.2735979557,1.7027044046,7.1935940592,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4238.7726099491,1729,3,RRTConnectkConfigDefault,1,0,3,0,0,0,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4240.0107989311,1730,0.1128928661,RRTConnectkConfigDefault,1,0.8472158909,0.1128928661,1.7028838869,7.3255185603,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
4242.7485430241,1731,0.1721479893,RRTConnectkConfigDefault,1,1.1323950291,0.1721479893,1.7029696364,9.1166221703,1,"{'default': 1.1, 'type': 'geometric::RRTConnect'}"
4245.2116589546,1732,0.1104309559,RRTConnectkConfigDefault,1,0.9704418182,0.1104309559,1.7027061215,8.7289719953,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4247.642747879,1733,0.1517679691,RRTConnectkConfigDefault,1,0.8952438831,0.1517679691,1.7026816112,7.2387101573,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4249.9862060547,1734,0.1115348339,RRTConnectkConfigDefault,1,0.8777310848,0.1115348339,1.702960941,6.6570543967,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4252.3952028751,1735,0.1654720306,RRTConnectkConfigDefault,1,0.8400628567,0.1654720306,1.7027743752,7.1885583043,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4254.7267689705,1736,0.2000100613,RRTConnectkConfigDefault,1,0.8863441944,0.2000100613,1.7030046844,7.2529993696,1,"{'default': 1.1, 'type': 'geometric::RRTConnect'}"
4257.261756897,1737,0.3062391281,RRTConnectkConfigDefault,1,0.8603930473,0.3062391281,1.7027188055,6.6715027721,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
4259.9470629692,1738,0.1561398506,RRTConnectkConfigDefault,1,0.913572073,0.1561398506,1.7029688412,8.0679060311,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4262.2200419903,1739,0.1253080368,RRTConnectkConfigDefault,1,0.8507399559,0.1253080368,1.7028608248,7.0091725693,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4263.759000063,1740,3,RRTConnectkConfigDefault,1,0,3,0,0,0,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
